Stratifier,Level,Score_name,Timepoint,n_observations,Mean_difference,Conf.low,Conf.high,Statistic,pvalue,qvalue,Method
Overall,,IFN score,2 week,193,-8.722646268,-11.36558794,-6.079704599,-6.522255961,1.04469E-09,4.17877E-09,Mixed effects linear model
Overall,,IFN score,8 week,193,-8.26498993,-10.92645375,-5.60352611,-6.13692926,7.39858E-09,2.21957E-08,Mixed effects linear model
Overall,,IFN score,16 week,193,-8.088666801,-10.79027602,-5.387057583,-5.916513157,2.18952E-08,4.37904E-08,Mixed effects linear model
Overall,,IFN score,40 week,193,-7.692292272,-10.65704904,-4.727535505,-5.126094028,8.87083E-07,8.87083E-07,Mixed effects linear model
Overall,,Cytokine score,2 week,188,-2.419528005,-3.083075866,-1.755980143,-7.207804462,3.03049E-11,1.2122E-10,Mixed effects linear model
Overall,,Cytokine score,8 week,188,-2.024102096,-2.692708924,-1.355495268,-5.984169243,1.66951E-08,2.22602E-08,Mixed effects linear model
Overall,,Cytokine score,16 week,188,-2.130024359,-2.80418024,-1.455868478,-6.245437718,4.55E-09,9.10001E-09,Mixed effects linear model
Overall,,Cytokine score,40 week,188,-1.869039979,-2.630915566,-1.107164392,-4.848866825,3.17594E-06,3.17594E-06,Mixed effects linear model
Overall,,quinolinic acid,2 week,190,-0.115451756,-0.173714027,-0.057189485,-3.916662459,0.000138023,0.000235449,Mixed effects linear model
Overall,,quinolinic acid,8 week,190,-0.116663636,-0.175368807,-0.057958465,-3.927892034,0.000132294,0.000235449,Mixed effects linear model
Overall,,quinolinic acid,16 week,190,-0.11530555,-0.174496023,-0.056115077,-3.850301601,0.000176587,0.000235449,Mixed effects linear model
Overall,,quinolinic acid,40 week,190,-0.101473757,-0.166701983,-0.036245531,-3.074571087,0.002517109,0.002517109,Mixed effects linear model
Overall,,L-tryptophan,2 week,190,7.191033819,0.551762133,13.83030551,2.140720128,0.033969454,0.135877816,Mixed effects linear model
Overall,,L-tryptophan,8 week,190,3.722066446,-2.964572454,10.40870535,1.100161776,0.273080957,0.338884353,Mixed effects linear model
Overall,,L-tryptophan,16 week,190,3.271026339,-3.466455984,10.00850866,0.959522867,0.338884353,0.338884353,Mixed effects linear model
Overall,,L-tryptophan,40 week,190,6.382326805,-1.002384895,13.7670385,1.707720182,0.089760061,0.179520121,Mixed effects linear model
Overall,,kynurenine,2 week,190,-0.318300013,-0.576308897,-0.060291129,-2.438393252,0.015966231,0.015966231,Mixed effects linear model
Overall,,kynurenine,8 week,190,-0.35015856,-0.610133322,-0.090183798,-2.662152527,0.008643708,0.011524945,Mixed effects linear model
Overall,,kynurenine,16 week,190,-0.49750081,-0.759631791,-0.235369828,-3.751207906,0.000253954,0.001015815,Mixed effects linear model
Overall,,kynurenine,40 week,190,-0.429634768,-0.718562919,-0.140706616,-2.938854559,0.003831294,0.007662589,Mixed effects linear model
Overall,,KynTrp_ratio,2 week,190,-0.008293989,-0.011987887,-0.004600091,-4.437903849,1.78981E-05,7.15925E-05,Mixed effects linear model
Overall,,KynTrp_ratio,8 week,190,-0.005605643,-0.009327297,-0.001883989,-2.977042225,0.00341291,0.00341291,Mixed effects linear model
Overall,,KynTrp_ratio,16 week,190,-0.007959405,-0.011711329,-0.004207481,-4.192917866,4.77174E-05,9.54347E-05,Mixed effects linear model
Overall,,KynTrp_ratio,40 week,190,-0.007820439,-0.011950904,-0.003689974,-3.741782509,0.000261583,0.000348777,Mixed effects linear model
